api_path,param_name,annotation,has_default,default_repr,kind
timesfm.TimesFM_2p5_200M_torch.from_pretrained,pretrained_model_name_or_path,"typing.Union[str, pathlib.Path]",False,,POSITIONAL_OR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.from_pretrained,force_download,<class 'bool'>,True,False,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,resume_download,typing.Optional[bool],True,None,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,proxies,typing.Optional[typing.Dict],True,None,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,token,"typing.Union[bool, str, NoneType]",True,None,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,cache_dir,"typing.Union[str, pathlib.Path, NoneType]",True,None,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,local_files_only,<class 'bool'>,True,False,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,revision,typing.Optional[str],True,None,KEYWORD_ONLY
timesfm.TimesFM_2p5_200M_torch.from_pretrained,model_kwargs,,False,,VAR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.compile,self,,False,,POSITIONAL_OR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.compile,forecast_config,<class 'timesfm.configs.ForecastConfig'>,False,,POSITIONAL_OR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.compile,kwargs,,False,,VAR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.forecast,self,,False,,POSITIONAL_OR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.forecast,horizon,<class 'int'>,False,,POSITIONAL_OR_KEYWORD
timesfm.TimesFM_2p5_200M_torch.forecast,inputs,list[numpy.ndarray],False,,POSITIONAL_OR_KEYWORD
