id,path,module,class_name,status,error_type,error_message,mro,public_members,property_count
2,timesfm.data_loader.TimeSeriesdata,timesfm.data_loader,TimeSeriesdata,ok,,,TimeSeriesdata -> object,3.0,0.0
17,timesfm.time_features.TimeCovariates,timesfm.time_features,TimeCovariates,ok,,,TimeCovariates -> object,1.0,0.0
38,timesfm.pytorch_patched_decoder.TimesFMConfig,timesfm.pytorch_patched_decoder,TimesFMConfig,ok,,,TimesFMConfig -> object,13.0,0.0
46,timesfm.pytorch_patched_decoder.ResidualBlock,timesfm.pytorch_patched_decoder,ResidualBlock,ok,,,ResidualBlock -> Module -> object,49.0,0.0
49,timesfm.pytorch_patched_decoder.RMSNorm,timesfm.pytorch_patched_decoder,RMSNorm,ok,,,RMSNorm -> Module -> object,49.0,0.0
53,timesfm.pytorch_patched_decoder.TransformerMLP,timesfm.pytorch_patched_decoder,TransformerMLP,ok,,,TransformerMLP -> Module -> object,49.0,0.0
56,timesfm.pytorch_patched_decoder.TimesFMAttention,timesfm.pytorch_patched_decoder,TimesFMAttention,ok,,,TimesFMAttention -> Module -> object,49.0,0.0
60,timesfm.pytorch_patched_decoder.TimesFMDecoderLayer,timesfm.pytorch_patched_decoder,TimesFMDecoderLayer,ok,,,TimesFMDecoderLayer -> Module -> object,49.0,0.0
63,timesfm.pytorch_patched_decoder.StackedDecoder,timesfm.pytorch_patched_decoder,StackedDecoder,ok,,,StackedDecoder -> Module -> object,49.0,0.0
66,timesfm.pytorch_patched_decoder.PositionalEmbedding,timesfm.pytorch_patched_decoder,PositionalEmbedding,ok,,,PositionalEmbedding -> Module -> object,49.0,0.0
69,timesfm.pytorch_patched_decoder.PatchedTimeSeriesDecoder,timesfm.pytorch_patched_decoder,PatchedTimeSeriesDecoder,ok,,,PatchedTimeSeriesDecoder -> Module -> object,50.0,0.0
83,timesfm.timesfm_jax.TimesFmJax,timesfm.timesfm_jax,TimesFmJax,skipped_optional_dependency,ModuleNotFoundError,No module named 'paxml',,,
106,timesfm.xreg_lib.BatchedInContextXRegBase,timesfm.xreg_lib,BatchedInContextXRegBase,ok,,,BatchedInContextXRegBase -> object,2.0,0.0
111,timesfm.xreg_lib.BatchedInContextXRegLinear,timesfm.xreg_lib,BatchedInContextXRegLinear,ok,,,BatchedInContextXRegLinear -> BatchedInContextXRegBase -> object,2.0,0.0
122,timesfm.patched_decoder.ResidualBlock,timesfm.patched_decoder,ResidualBlock,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,
127,timesfm.patched_decoder.PatchedTimeSeriesDecoder,timesfm.patched_decoder,PatchedTimeSeriesDecoder,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,
136,timesfm.patched_decoder.PatchedDecoderFinetuneModel,timesfm.patched_decoder,PatchedDecoderFinetuneModel,skipped_optional_dependency,ModuleNotFoundError,No module named 'praxis',,,
149,timesfm.timesfm_torch.TimesFmTorch,timesfm.timesfm_torch,TimesFmTorch,ok,,,TimesFmTorch -> TimesFmBase -> object,4.0,0.0
167,timesfm.timesfm_base.TimesFmHparams,timesfm.timesfm_base,TimesFmHparams,ok,,,TimesFmHparams -> object,12.0,0.0
168,timesfm.timesfm_base.TimesFmCheckpoint,timesfm.timesfm_base,TimesFmCheckpoint,ok,,,TimesFmCheckpoint -> object,6.0,0.0
169,timesfm.timesfm_base.TimesFmBase,timesfm.timesfm_base,TimesFmBase,ok,,,TimesFmBase -> object,4.0,0.0
