class_path,status,property_name,property_doc_head
timesfm.data_loader.TimeSeriesdata,ok,,
timesfm.time_features.TimeCovariates,ok,,
timesfm.pytorch_patched_decoder.TimesFMConfig,ok,,
timesfm.pytorch_patched_decoder.ResidualBlock,ok,,
timesfm.pytorch_patched_decoder.RMSNorm,ok,,
timesfm.pytorch_patched_decoder.TransformerMLP,ok,,
timesfm.pytorch_patched_decoder.TimesFMAttention,ok,,
timesfm.pytorch_patched_decoder.TimesFMDecoderLayer,ok,,
timesfm.pytorch_patched_decoder.StackedDecoder,ok,,
timesfm.pytorch_patched_decoder.PositionalEmbedding,ok,,
timesfm.pytorch_patched_decoder.PatchedTimeSeriesDecoder,ok,,
timesfm.timesfm_jax.TimesFmJax,skipped_optional_dependency,,
timesfm.xreg_lib.BatchedInContextXRegBase,ok,,
timesfm.xreg_lib.BatchedInContextXRegLinear,ok,,
timesfm.patched_decoder.ResidualBlock,skipped_optional_dependency,,
timesfm.patched_decoder.PatchedTimeSeriesDecoder,skipped_optional_dependency,,
timesfm.patched_decoder.PatchedDecoderFinetuneModel,skipped_optional_dependency,,
timesfm.timesfm_torch.TimesFmTorch,ok,,
timesfm.timesfm_base.TimesFmHparams,ok,,
timesfm.timesfm_base.TimesFmCheckpoint,ok,,
timesfm.timesfm_base.TimesFmBase,ok,,
